iter	Passed	Remaining
0	2	221
1	4	226
2	7	233
3	9	217
4	11	215
5	13	211
6	15	209
7	18	209
8	20	206
9	22	203
10	25	203
11	27	200
12	29	198
13	31	194
14	33	192
15	35	188
16	37	182
17	39	178
18	41	174
19	42	170
20	44	166
21	46	163
22	48	161
23	50	160
24	52	157
25	54	154
26	55	151
27	57	147
28	59	145
29	61	143
30	63	141
31	66	140
32	68	138
33	70	136
34	72	134
35	74	132
36	76	130
37	78	128
38	80	126
39	82	123
40	84	121
41	85	118
42	87	116
43	89	114
44	91	111
45	94	110
46	96	108
47	98	106
48	100	104
49	102	102
50	104	99
51	105	97
52	107	95
53	109	93
54	110	90
55	111	87
56	113	85
57	115	83
58	116	81
59	118	79
60	120	77
61	122	75
62	123	72
63	125	70
64	128	69
65	130	67
66	132	65
67	134	63
68	135	60
69	137	58
70	138	56
71	140	54
72	141	52
73	143	50
74	144	48
75	145	46
76	147	43
77	148	41
78	149	39
79	151	37
80	152	35
81	153	33
82	155	31
83	156	29
84	158	27
85	159	25
86	161	24
87	162	22
88	163	20
89	165	18
90	166	16
91	167	14
92	169	12
93	171	10
94	172	9
95	173	7
96	175	5
97	176	3
98	177	1
99	178	0
